FECHA DE CREACION,AUTOR,TEXTO,ANÁLISIS DE SENTIMIENTOS,POSITIVOS,NEGATIVOS,NEUTROS
Tue May 26 23:18:45 +0000 2020,Carlos Ramos,Coronavirus en Ecuador asi hacen frente al coronavirus los indigenas de la Amazonia y como se preparan para una postpandemia de hambre desempleo y trueque ,-1,,1,
Tue May 26 23:16:57 +0000 2020,Alo Ciudadano,Mapa del coronavirus en el mundo en tiempo real HOY martes 26 de mayo del 2020 infectados y muertos ,-1,,1,
Tue May 26 23:16:44 +0000 2020,TyC Sports,La experiencia de los argentinos con la crisis del coronavirus en Sudamerica ,-1,,1,
Tue May 26 23:16:28 +0000 2020,iLarioTrinchera,Cuando la frustrachera por ver a Venezuela en un caos por la pandemia es de padre y senor mio Pero yo reto a los pelotudos de Clarin que muestre UN MUERTO POR COVID 19 EN VENEZUELA QUE NO HAYA SIDO ATENDIDO o que muestren muertos por coronavirus en las calles como en Ecuador ,-1,,1,
Tue May 26 23:16:09 +0000 2020,Rafael MendezMeneses,Coronavirus en Ecuador las multitudinarias protestas por las drasticas medidas economicas y recortes del traidor y sus compinches ,-1,,1,
Tue May 26 23:11:05 +0000 2020,EL TIEMPO, Colombia tiene 15 fallecidos por millon de habitantes Estamos muy por debajo de paises como Ecuador Brasil Chile y Argentina Ivan Duque IvanDuque ,-1,,1,
Tue May 26 23:11:04 +0000 2020,Super Dashy,En Brasil Peru y Chile se han acelerado contagios Ademas de las cifras altas de Mexico y Ecuador por covid 19 coronavirus ,-1,,1,
Tue May 26 23:10:04 +0000 2020,Valeria  La Patria es el Otro, Brasil vuelve a superar las 1 000 muertes por coronavirus en un dia y acumula mas de 24 500 fallecidos Ecuador reporta 37 656 contagiados por coronavirus y 5 276 fallecidos entre confirmados y probables TrumpLand supera 100 000 muertos por covid 19,-1,,1,
Tue May 26 23:08:00 +0000 2020,Roger,CNE Tungurahua MgLorenaRamos1 radiocolosal RadioLider1010 horatungurahua ElHeraldoAmbato radiosira1210am RadioAmbato1 Siguen pensando en segmentar las elecciones Se puede dar un rebrote de coronavirus Elecciones2021Ec Ecuador,-1,,1,
Tue May 26 23:02:53 +0000 2020,David San Martin,d30193 bereaguilarv FelipeCalderon Lamentablemente Mexico ya lidera las cifras en tasa de letalidad por arriba de Ecuador Canada Brasil Honduras y Estados Unidos Datos de Mexico hoy 71 105 casos confirmados y 7 633 defunciones fuente tasa conforme datos actualizados 10 7 ,-1,,1,
Tue May 26 22:50:45 +0000 2020,Tito,Prefieren dejarlo morir antes que contradecir a los laboratorios y probar el CDS dioxido de cloro que esta salvando gente en Ecuador ginesggarcia Internaron al jefe de enfermeros del Hospital Fernandez por coronavirus Se esta muriendo ,-1,,1,
Tue May 26 22:44:36 +0000 2020,Rommel Berrezueta,Y eso que pasa en la camioneta y a voz en cuello contra los que no cumplen Quito Ecuador coronavirus ,-1,,1,
Tue May 26 22:44:10 +0000 2020,HablaEcuador,Este martes 26 de mayo Ecuador registra 37 656 casos positivos de coronavirus y un total de 5 276 decesos en el contexto de la pandemia 3 221 muertes confirmadas por covid 19 y 2055 fallecidos probables ,-1,,1,
Tue May 26 22:39:08 +0000 2020,Jeycel Montiel, 26Mayo Ahora en vivo OMS alerta que America Latina es el nuevo epicentro mundial del coronavirus por los casos de Brasil Colombia Ecuador Chile y Peru Estamos evaluando los riesgos afirma Vicepresidenta de Venezuela Delcy Rodriguez ,-1,,1,
Tue May 26 22:32:37 +0000 2020,i,DiegoOterop increible Duque creyendo las falsedades del coronavirus de Venezuela Preocupese de los asesinatos politicos en Colombia de la pobreza desigualdades y mal manejo de la crisis Preocupese de Peru Ecuador Brasil y Estados Unidos Deje la obsesion con Venezuela,-1,,1,
Tue May 26 22:30:22 +0000 2020,InSight Crime ES,Los hospitales en Guayaquil Ecuador pagaron en exceso por las bolsas para cadaveres en mas del 1 300 por ciento aprovechando el aumento de la demanda debido a la pandemia de coronavirus ,-1,,,
Tue May 26 22:26:37 +0000 2020,Ma.Cecilia Moreno Ramirez,Les recuerdo que significa aplanar la curva en este video Recuerden que el peligro no ha pasado respecto a la pandemia Covid 19 coronavirus aplanarlacurva Quito Guayaquil Ecuador ,-1,,1,
Tue May 26 22:22:25 +0000 2020,EL DEBER, Si no nos mata el coronavirus lo hara el gobierno fue una de las consignas de la jornada YoMeQuedoEnCasa CoronavirusEnElMundo ,-1,,1,
Tue May 26 22:08:36 +0000 2020,LA PRENSA de Lara, Coronavirus Este martes el Ministerio de Salud de Ecuador informo que el numero de contagiados ascendio a 37 656 luego de registrarse 301 nuevos casos en las ultimas 24 horas 26May ,-1,,1,
Tue May 26 22:01:47 +0000 2020,JorgeEndara, Coronavirus Primera ola de la pandemia no ha terminado advierte la OMS Aca en Ecuador el ministro de salud por poco dice que ya somos inmunes a la pandemia ,-1,,1,
Tue May 26 21:52:19 +0000 2020,Diario La Juventud,La quiebra declarada oficialmente este martes esta motivada a la drastica disminucion del servicio por la pandemia del nuevo coronavirus El proceso abarca las filiales en EEUU Colombia Peru y Ecuador no asi las sedes en Argentina Paraguay y Brasil ,-1,,1,
Tue May 26 21:51:31 +0000 2020,Johanna Canizares, ACTUALIZACION l Estas son las cifras en torno al coronavirus en Ecuador 37656 casos confirmados 3221 fallecidos por covid 19 2055 fallecidos por probable coronavirus 3560 recuperados 3981 con alta hospitalaria 10606 con alta epidemiologica ,-1,,1,
Tue May 26 21:49:18 +0000 2020,benito kamelas,260520 Familias ecuatorianas aun buscan a sus muertos perdidos en medio de la pandemia ,-1,,1,
Tue May 26 21:46:41 +0000 2020,Leonel Candanga,En Polombia Chile Peru Brasil Ecuador Panama no hay muertes por Coronavirus sus habitantes como paises alienados imitan las costumbres de paises desarrollados ,1,1,,
Tue May 26 21:45:01 +0000 2020,Grupo La Provincia,Quito cerca de convertirse en el nuevo epicentro del coronavirus en Ecuador via laprovinciabsas,-1,,1,
Tue May 26 21:38:12 +0000 2020,Jefferson Rincon,CNE Tungurahua MgLorenaRamos1 radiocolosal horatungurahua ElHeraldoAmbato radiosira1210am RadioMera1380AM RadioAmbato1 El mejor servicio para los Ecuatorianos deberia ser el voto telematico En lugares donde recorrieron a la votacion como Wisconsin se duplicaron los casos Elecciones2021Ec Ecuador coronavirus ,0,,,1
Tue May 26 21:34:22 +0000 2020,EL PAIS America, Brasil es el pais con mas muertes diarias por la covid 19 en el mundo Exigen ayuda humanitaria urgente para Venezuela Se estanca la cifra de fallecidos por coronavirus en las dos provincias mas afectadas de Ecuador En vivo con Josemmota19 ,-1,,1,
Tue May 26 21:33:32 +0000 2020,ServiFumi, DESINFECCION DE EDIFICIOS DESINFECTAMOS TUS ESPACIOS Y VEHICULOS EVITA MOLESTIAS A FUTURO 16 anos en servicio para su tranquilidad Inf 0982434333 coronavirus Covid 19 Samborondon Ecuador guayaquil fumigacionguayaquil desinfeccionguayaquil ,1,1,,
Tue May 26 21:30:02 +0000 2020,EditorEc Lizarzaburo,Coronavirus Puertos digitales en Ecuador tras la pandemia habia un error en el grafico porque se tabulo equivocadamente el gafico en exel de ahi que hemos cambiado por la fotografia puertosprivados CamaraMaritimaE,-1,,1,
Tue May 26 21:29:23 +0000 2020,Eduardo Salazar,Violeta Avila concejal de Manta en Ecuador causo polemica al decir que el COVID 19 no era mortal y que la gente malgastaba su plata en mascarillas cubrebocas Ella murio por complicaciones derivadas del coronavirus ,-1,,1,
Tue May 26 21:29:02 +0000 2020,NOTICAS Y LA VERDAD, REVOLUCION EN Ecuador Las calles en varias ciudades de Ecuador se llenaron de manifestantes que protestan contra la gestion economica del Gobierno del GENOCIDA Lenin Moreno durante la emergencia sanitaria coronavirus ,-1,,1,
Tue May 26 21:28:06 +0000 2020,Mundo El Comercio,Familias ecuatorianas aun buscan a sus muertos perdidos en medio de la pandemia del coronavirus ,-1,,1,
Tue May 26 21:18:26 +0000 2020,Freddy Landazuri Zambrano,Cuando sera el dia que veamos a las farmaceuticas en Ecuador haciendo lo mismo ante las buenas ganancias que les esta dejando el Coronavirus NUNCA ,-1,,1,
Tue May 26 21:10:42 +0000 2020,La Corneta, InterNacional Mas de 74 000 personas han sido sancionadas por incumplir el toque de queda en Ecuador que atraviesa por una emergencia sanitaria por el coronavirus que ha contagiado a mas de 37 000 personas informo este martes el Ministerio de Gobierno ,-1,,1,
Tue May 26 20:57:10 +0000 2020,Diario Peru21, Ecuador familias aun buscan a sus muertos perdidos en medio de la pandemia del COVID 19 ,-1,,1,
Tue May 26 20:51:01 +0000 2020,Ecuador en Directo, ECUADOR La nueva cifra de contagiados por coronavirus en el pais es de 37 656 y 3 221 fallecidos ED ,-1,,1,
Tue May 26 20:50:00 +0000 2020,Revista Semana,Las nacionalidades indigenas de la Amazonia una de las regiones mas pobres de Ecuador han recurrido a su propia estrategia para enfrentar la pandemia aunque una de ellas estaria en peligro de extincion ,-1,,1,
Tue May 26 20:49:54 +0000 2020,Patricia Janiot, Si el coronavirus no nos mata el gobierno lo hara fue una de las consignas de las protestas en Ecuador contra las medidas economicas tomadas por Lenin Moreno La reduccion de la jornada laboral hasta 50 fue uno de los detonantes del malestar social ,-1,,1,
Tue May 26 20:49:05 +0000 2020,LEGS,sumariumcom Gbastidas Sera q se les alborotan las lombrices para dar declaraciones Resulta q los Venezolanos regresan de los desastres q tienen en Brazil Ecuador Peru Colombia con la atencion al coronavirus de paso hablan de genocidio q locos revisence ustedes lo q le hacen a su pueblo planwac,-1,,1,
Tue May 26 20:48:21 +0000 2020,Esteban Trapiello,Miles de manifestantes en Ecuador desafiaron el coronavirus y sus restricciones de encierro para protestar por recortes laborales y salariales en medio de la pandemia ,-1,,1,
Tue May 26 20:41:33 +0000 2020,J.J. Vivas Wagner,yluminaty Un tema para pensar y que el Ministro de Salud de Ecuador DrJuanCZevallos no debe dejar de tomar en cuenta Salud Ec COE coronavirus,0,,,1
Tue May 26 20:40:08 +0000 2020,StudioFutbol,REPORTE DE ESTE MARTES Coronavirus en Ecuador 37 656 contagiados confirmados ,-1,,1,
Tue May 26 20:40:01 +0000 2020,TC Television, ATENCION Conoce la situacion de los 37 656 casos confirmados de coronavirus en Ecuador Cuantos tienen aislamiento domiciliario Detalles ,-1,,1,
Tue May 26 20:38:02 +0000 2020,El Noticiero, Situacion nacional por Covid 19 Coronavirus 37 656 Casos confirmados 47 693 Casos descartados 3 221 Fallecidos 3 981 Alta Hospitalaria 10 606 Alta Epidemiologica 15 630 Aislamiento Domiciliario Informese ,-1,,1,
Tue May 26 20:35:44 +0000 2020,El Noticiero, BALANCE En Ecuador hasta la manana de este martes se han confirmado 37 656 casos positivos de COVID 19 El numero de fallecidos subio a 3 221 Las provincias con mas muertes registradas Guayas Manabi Pichincha y Santa Elena Mas detalles en ,-1,,1,
Tue May 26 20:35:36 +0000 2020,Jaquelina,avieu Pues tiene razon la tasa de letalidad mas alta en Latinoamerica la tiene Ecuador gracias al traidor de Lenin Moreno Lenin que junto a jairbolsonaro son los dos peores presidentes del continente los que peor gestionaron el coronavirus,-1,,1,
Tue May 26 20:34:42 +0000 2020,TC Television, CIFRAS Ecuador registra 37 656 casos de COVID 19 El Ministerio de Salud Publica entrego la cifra actualizada de personas contagiadas de Coronavirus en el pais Se detallo ademas que se han realizado 106 991 pruebas Mas detalles AQUI ,-1,,1,
Tue May 26 20:34:18 +0000 2020,El Noticiero, CIFRAS Ecuador registra 37 355 casos de COVID 19 El Ministerio de Salud Publica entrego la cifra actualizada de personas contagiadas de Coronavirus en el pais Se detallo ademas que se han realizado 106 554 pruebas Mas detalles AQUI ,-1,,1,
Tue May 26 20:34:09 +0000 2020,TC Television, ULTIMA HORA Se registran 3 221 fallecidos por coronavirus en Ecuador Detalles aqui ,-1,,1,
Tue May 26 20:30:00 +0000 2020,La Hora Ecuador, Quito Uno de cada tres quitenos mayores de 30 es inmune al virus dijo el ministro de Salud DrJuanCZevallos esta manana en la sesion de Concejo Metropolitano Mas detalles Ecuador Covid19 CoronavirusEnEcuador EmergenciaSanitaria ,-1,,1,
Tue May 26 20:29:00 +0000 2020,La Marea de Manta, ACTUALIDAD MANABI El COE cantonal de Santa Ana decidio seguir en semaforo rojo ante el Covid19 En esa jurisdiccion hay 56 casos confirmados de coronavirus gt gt gt ,0,,,1
Tue May 26 20:28:37 +0000 2020,Carlos Mejia,Miles de muertes por coronavirus en EEUU Brasil y Ecuador pero el problema de la pandemia es Venezuela,-1,,1,
Tue May 26 20:27:46 +0000 2020,El Oriente,Coronavirus en Ecuador hoy 26 de mayo Solo 437 pruebas pero 301 nuevos contagios y 18 muertes ,-1,,1,
Tue May 26 20:26:08 +0000 2020,vida espanolas, Coronavirus en Ecuador las multitudinarias protestas por las drasticas medidas economicas y recortes de Lenin Moreno ,-1,,1,
Tue May 26 20:22:02 +0000 2020,#Â¿NOMBRE,Coronavirus en Ecuador las multitudinarias protestas por las drasticas medidas economicas y recortes de Lenin Moreno Reducciones salariales y cierres de puestos de trabajo fueron algunos de los motivos por los que ecuatorianos en diferentes ciudades ,-1,,1,
Tue May 26 20:17:26 +0000 2020,#Â¿NOMBRE, VIDEO Por que es tan importante conocer el origen y las cepas del coronavirus que circulan en Ecuador ,0,,,1
Tue May 26 20:05:12 +0000 2020,Gustavo Vaca Trigo,Ecuador CFR 8 554 De confirmarse el dato resaltado el CFR de Ecuador estaria en 14 011 COVID19 coronavirus coronavirusEcuador Covid 19 COVID19Ecuador QuedateEnCasa Ecuador ,0,,,1
Tue May 26 20:02:38 +0000 2020,Gustavo Vaca Trigo,Situacion del COVID19 en Ecuador al 26 05 2020 actualizado a las 08h00 COVID19 coronavirus coronavirusEcuador Covid 19 COVID19Ecuador QuedateEnCasa Ecuador Rstats ,0,,,1
Tue May 26 20:01:39 +0000 2020,Mundo El Comercio,Ecuador reporta 3 221 fallecidos y 37 656 contagios por coronavirus ,-1,,1,
Tue May 26 20:00:14 +0000 2020,Carlos T.F (Litros),Lanzan la propuesta de permitir vuelos internacionales directos a este maravilloso sitio de la casa comun en tiempos de coronavirus Galapagos Ecuador coronavirus ,1,1,,
Tue May 26 19:56:28 +0000 2020,El Comercio, Coronavirus protestas en Ecuador por medidas del gobierno en medio de la pandemia ,-1,,1,
Tue May 26 19:52:31 +0000 2020,Universidad Central del Ecuador,La UniversidadCentral en la prensa Fernando Sempertegui Rector de lacentralec dijo que un cambio al semaforo amarillo precipitaria un relajamiento masivo de las medidas de control DiarioExtraEc,1,1,,
Tue May 26 19:48:28 +0000 2020,La Hora Ecuador, ATENCION El COENacional informo que hasta hoy 26 de mayo en Ecuador hay 37 656 casos confirmados de coronavirus y 5 276 victimas mortales Covid19 Coronavirus Cifras QuedateEnCasa ,-1,,1,
Tue May 26 19:46:05 +0000 2020,Tabasco HOY, EnterateTH LATAMAirlines se declaro en bancarrota tanto en su pais natal como en Peru Colombia Ecuador y EstadosUnidos tras no poder sobrellevar el impacto economico originado por la pandemia de coronavirus ,-1,,1,
Tue May 26 19:40:25 +0000 2020,La Marea de Manta, Ecuador Covid19 3 221 personas han muerto en el pais por el coronavirus siendo Guayas Manabi y StaElena las provincias con mas decesos confirmados por el MSP gt gt gt ,-1,,1,
Tue May 26 19:39:46 +0000 2020,Diario El Mercurio,Latam se declara en quiebra en cinco paises entre ellos Ecuador mercurioec ,-1,,1,
Tue May 26 19:38:28 +0000 2020,Luis Fernando Torres,Duque y la Prens a amarilla No h acen sino falsear sobre el coronavirus en venezuela porque lo hara cuando colombia junto con br Asil y ecuador si estan colapsados ,-1,,1,
Tue May 26 19:36:48 +0000 2020,Diana Maldonado [?],Hagamonos todos un favor y bloquemos a estos trolles del gobierno Ya voy bloqueando en lo que va del dia a 10 Que pena que para estas cosas si haya dinero y no para otras que si son importantes y vitales coronavirus Ecuador Parece troll de Roldan jajajajaja ,-1,,1,
Tue May 26 19:33:02 +0000 2020,Diario Expreso,Sigue el avance de las noticias mas destacadas sobre el coronavirus en Ecuador y el mundo con el minuto a minuto de EXPRESO ,1,1,,
Tue May 26 19:32:19 +0000 2020,Oscar Mesias,Invitados Todos y todas JacoboG Ecu pilas la proxima estas invitado para hablar de las elecciones en Ecuador 2021 coronavirus ecuador jairo panimboza ReddeComunica12 ,1,1,,
Tue May 26 19:28:50 +0000 2020,#Â¿NOMBRE,Impacto del covid 19 en Ecuador 37 656 casos confirmados y 5 276 muertes en el contexto de la pandemia ,-1,,1,
Tue May 26 19:15:10 +0000 2020,LaHistoria,Latam la aerolinea mas grande de America Latina se acoge a la ley de bancarrota de Estados Unidos por el impacto economico del coronavirus En Ecuador habra recortes de personal pero seguira operando sus vuelos ,-1,,1,
Tue May 26 19:10:35 +0000 2020,UDLA Ecuador, Forma parte del Multifest School La tematica para desarrollar los trabajos es El coronavirus en el Ecuador Cuentanos en una propuesta las diferentes representaciones graficas y visuales sobre esta pandemia que ha afectado a todo el mundo ,1,1,,
Tue May 26 19:10:24 +0000 2020,Diego Vago,Escepticos ya no hay que irse hasta Italia Espana Peru ni Ecuador Desesperacion en un hospital de Chile colapso y deben elegir a que pacientes internar QuedateEnCasa ,-1,,1,
Tue May 26 19:02:48 +0000 2020,MARIO CASTILLO RUIZ,RPPNoticias Avanza el coronavirus en los paises Peru Chile y Brasil pq los presidentes se admiraban de lo q sucedia en Ecuador y son incapaces para aplicar estrategias y contener el avance rodeados de amigos y allegados y no aceptar orientacion de profesionales conocedores y estudiosos,-1,,,
Tue May 26 19:02:18 +0000 2020,almomentotv, Nacional I Ecuador registra este martes 26 de mayo 37 656 personas contagiadas por el coronavirus y 5 276 fallecidos en el contexto del covid 19 3 221 por la afectacion del coronavirus y otras 2 055 por sospecha de la enfermedad ,-1,,1,
Tue May 26 18:59:05 +0000 2020,WQ Radio, WQNoticias Ecuador inicia la ultima semana de mayo del 2020 con 37 656 personas contagiadas por el coronavirus y 5 276 fallecidos en el contexto del covid 19 3 221 por la afectacion del coronavirus y otras 2 055 ,-1,,1,
Tue May 26 18:56:35 +0000 2020,Stella Maris  (Estrella Mar),Como Milei pero en Ecuador hablaba de que la enfermedad no es mortal y aconsejaba no usar barbijos SE MURIO POR CORONAVIRUS ,-1,,1,
Tue May 26 18:55:02 +0000 2020,Ecuador Noticias, URGENTE La cifra de casos confirmados de coronavirus en Ecuador se eleva a 37 656 Ecuador Covid19Ec ,0,,,1
Tue May 26 18:53:48 +0000 2020,ContraReplica,Hasta ahora mas de 74 mil personas han sido sancionadas en Ecuador por incumplir con el toque de queda estipulado por el Ministerio de Gobierno como una de las medidas para evitar la propagacion del coronavirus ,-1,,1,
Tue May 26 18:51:44 +0000 2020,Dyo,Cuenca Ecuador se reactivara segun normas establecidas pensadas en la seguridad de sus clientes Turismo coronavirus prevenido ,1,1,,
Tue May 26 18:48:52 +0000 2020,ONDAS AZUAYAS,En las ciudades donde el semaforo paso a amarillo las restricciones por el coronavirus se flexibilizan en diferentes ambitos ,1,1,,
Tue May 26 18:43:56 +0000 2020,GuayaberasOrellana,Hecho en Ecuador con toda la garantia y de que lo que hacemos aqui lo hacemos bien Info mascarillas reusables y lavables Anifluido y ergonomicas Ventas al x mayor y menor Ecuador Machala Ambato Guayaquil coronavirus fashion salud CarlosVerareal mascarillas ,1,1,,
Tue May 26 18:39:20 +0000 2020,Francisco Limongi,Coronavirus en Ecuador 37 656 contagiados confirmados via StudioFutbol,-1,,1,
Tue May 26 18:38:48 +0000 2020,La Marea de Manta, ATENCION ECUADOR Los casos de coronavirus COVID19 superaron la barrera de los dos mil en Manabi Estas son las cifras oficiales del Ministerio de Salud gt gt gt ,-1,,1,
Tue May 26 18:33:27 +0000 2020,ManabiNoticias, URGENTE COVID 19 5 276 muertos en Ecuador por coronavirus y causas similares ,-1,,1,
Tue May 26 18:33:15 +0000 2020,elclubdecomerciantes,Ecuador reporta 37 656 contagiados por coronavirus y 5 276 fallecidos entre confirmados y probables En las ultimas 24 horas se registraron 47 fallecimientos mas asociados a la pandemia Source Actualidad ,-1,,1,
Tue May 26 18:28:10 +0000 2020,Ultima Hora Ecuador,Ecuador registra 3 221 muertos y 37 656 casos de coronavirus INFORME ,-1,,1,
Tue May 26 18:28:00 +0000 2020,TunasVision,Protestas en Ecuador Si no nos mata el coronavirus nos va a matar el Gobierno ,-1,,1,
Tue May 26 18:23:00 +0000 2020,El Comercio, ATENCION 5 276 personas han muerto en Ecuador en el contexto del covid19 segun el Gobierno Informe de este martes 26 de mayo ,-1,,1,
Tue May 26 18:16:35 +0000 2020,BBC News Mundo, Si no nos mata el coronavirus lo hara el gobierno fue una de las consignas de la jornada de protestas en Ecuador ,-1,,1,
Tue May 26 18:15:00 +0000 2020,GKecuador,Una de las zonas que merece atencion por su vulnerabilidad es la Sierra centro en donde estan algunos cantones de Tungurahua Chimborazo Bolivar y Canar En esta zona se registran considerables tasas de casos confirmados ,-1,,1,
Tue May 26 18:13:19 +0000 2020,MARCOS H. ONOFRE,Mortalidad 100 mil hab en Latinoamerica Brasil 11 21 Bolivia 11 34 Ecuador 18 75 Mexico 6 05 Fuente ,-1,,1,
Tue May 26 18:10:55 +0000 2020,PULGA EN EL OIDO,Complicado cuando te toca una pandemia como la del Coronavirus con un Presidente de la Republica en ejercicio que es un sacoehuevas CNNChile dw espanol biobio canal13 de aluksicc Chilevision11 meganoticiascl Que lo digan Brasil Mexico Bolivia y Ecuador por ejemplo,-1,,1,
Tue May 26 18:08:01 +0000 2020,HNS,PROTESTAS EN ECUADOR Y EN ARGENTINA POR MEDIDAS PARA CONTROLAR LA CRISIS Sindicatos y otros grupos de la sociedad desafiaron las restricciones por el coronavirus y organizaron marchas el lunes en varias ciudades ,-1,,1,
Tue May 26 18:07:33 +0000 2020,Diario Que!, Coronavirus Cifras oficiales de COVID 19 en Ecuador publicadas hoy 26 de mayo ,0,,,1
Tue May 26 18:05:00 +0000 2020,El Telegrafo Ecuador,Datos actualizados de Covid 19 en Ecuador Pichincha registra el 12 6 de contagios por Coronavirus en todo el pais ,-1,,1,
Tue May 26 18:00:09 +0000 2020,Instituto del Ahorro,Latam se acoge a la ley de quiebra de EEUU DFinanciero El coronavirus y su impacto obligo a Latam a acogerse al proceso de reorganizacion financiera Sus filiales en Chile Peru Colombia Ecuador y Estados Unidos iniciaron una reorganizacion y reestructuracion de su deuda ,-1,,1,
Tue May 26 18:00:00 +0000 2020,EL PAIS Fotografia,Fotos Coronavirus las imagenes de la pandemia en el mundo Centenares de ciudadanos salen a las calles de Quito Ecuador para protestar por las reformas anunciadas por el Gobierno para hacer frente a la crisis del coronavirus ,-1,,1,
Tue May 26 17:55:52 +0000 2020,VR Montalvo,gochoalavidava Entonces Peru Ecuador Brasil y Panama ya no estan en Latinoamerica Lo digo porque la lista del nytimes que se alimenta de cifras oficiales y no tanto dice otra cosa quien miente Golpear por golpear nada mas ,-1,,1,
Tue May 26 17:54:44 +0000 2020,StudioFutbol,REPORTE DE HOY Coronavirus en Ecuador 37 656 contagiados confirmados ,-1,,1,
Tue May 26 17:53:00 +0000 2020,MARCOS H. ONOFRE,Mike Oviedo Mortalidad 100 mil hab en Latinoamerica Brasil 11 21 Bolivia 11 34 Ecuador 18 75 Mexico 6 05 Fuente ,-1,,1,
Tue May 26 17:51:05 +0000 2020,juan govea a,Pichincha registra el 12 6 de contagios por coronavirus en todo el pais ,-1,,1,
Tue May 26 17:50:00 +0000 2020,Reuters Latam,Familias ecuatorianas aun buscan a sus muertos perdidos en medio de la pandemia ,-1,,1,
Tue May 26 17:49:52 +0000 2020,Luis FN,lahistoriaec A por favor es una medida quen la mayoria de paises del mundo esta tomando asi no solo pasa en el Ecuador ,0,,,1
Tue May 26 17:47:28 +0000 2020,Primicias, ATENCION Hay 37 656 casos de coronavirus confirmados en Ecuador Se ha descartado que 47 693 personas esten contagiadas COVID19 ,0,,,1
Tue May 26 17:46:33 +0000 2020,Randi,5 037 muertos contabilizan cifras de coronavirus en Ecuador ,-1,,1,
Tue May 26 17:45:00 +0000 2020,EL TIEMPO,Sindicatos y otros grupos ciudadanos de Ecuador protestaron en las calles por las medidas economicas que tomo el Gobierno de Lenin Moreno para combatir el coronavirus Aqui le contamos mas ,-1,,1,
Tue May 26 17:43:45 +0000 2020,Vision TV, Pais Reporteoficial de casos de coronavirus en el pais segun informacion difundida el 26 de mayo de 2020 ,0,,,1
